,Condensate ID,x_corr,y_corr,frame,area_cond,Frames visible,t,Condition,Video
7,22,-4.4656869985135454,-4.605741579318569,8,1374,27,7,Non-Confined,8105
8,22,-2.5485086288304366,-5.2959445274253,9,1105,27,8,Non-Confined,8105
9,22,-3.299698947929535,-5.050736710606145,10,1395,27,9,Non-Confined,8105
10,22,-3.073530882749919,-5.136921444595327,11,741,27,10,Non-Confined,8105
11,22,-4.267419866339869,-4.8688108941469235,12,1343,27,11,Non-Confined,8105
12,22,-4.161808393787364,-4.987377904429451,13,1429,27,12,Non-Confined,8105
13,22,-5.224829611530226,-3.186822407358068,14,1448,27,13,Non-Confined,8105
14,22,-4.847662602770732,-4.062882132673781,15,1342,27,14,Non-Confined,8105
15,22,-3.4159646287745398,-5.50900005175528,16,1337,27,15,Non-Confined,8105
16,22,-4.657588904174006,-4.713553314617656,17,644,27,16,Non-Confined,8105
17,22,-4.776657114539819,-4.520254521840914,18,851,27,17,Non-Confined,8105
18,22,-4.574039054667205,-5.0199240364019175,19,259,27,18,Non-Confined,8105
19,22,-4.071935836169757,-5.104285973465808,20,1393,27,19,Non-Confined,8105
20,22,-3.9885013076275024,-5.179231703628578,21,1504,27,20,Non-Confined,8105
21,22,-4.684268169282422,-4.596520866193716,22,1680,27,21,Non-Confined,8105
22,22,-4.784248266397748,-4.77826231615838,23,1203,27,22,Non-Confined,8105
23,22,-4.25021213154732,-5.14057836559658,24,1455,27,23,Non-Confined,8105
24,22,-2.906647470676052,-5.967851524540718,25,1130,27,24,Non-Confined,8105
25,22,-1.8580269083967966,-6.339716107551724,26,1652,27,25,Non-Confined,8105
26,22,-1.474630549519707,-6.276055304901829,27,1445,27,26,Non-Confined,8105
27,23,-6.742705918205248,1.0510237026381555,0,491,28,0,Non-Confined,8105
28,23,-6.588675186253229,-0.11768080842189171,1,546,28,1,Non-Confined,8105
29,23,-6.7093974344425495,-0.7409924984729166,2,426,28,2,Non-Confined,8105
30,23,-5.985649648073499,0.6550270807029014,3,548,28,3,Non-Confined,8105
31,23,-5.673279921920142,-0.42603416207537637,4,516,28,4,Non-Confined,8105
32,23,-4.972872329752883,-1.3456537815200098,5,479,28,5,Non-Confined,8105
33,23,-5.366709725042306,-0.5051124774684752,6,421,28,6,Non-Confined,8105
34,23,-5.289164570711558,-0.10142293532365772,7,470,28,7,Non-Confined,8105
35,23,-5.558748956286384,0.3178911085114671,8,497,28,8,Non-Confined,8105
36,23,-5.744382650932077,-1.120001649705409,9,502,28,9,Non-Confined,8105
37,23,-5.9310629259723635,-0.14131437889926982,10,476,28,10,Non-Confined,8105
38,23,-6.082653370439,-0.9325604661749661,11,527,28,11,Non-Confined,8105
39,23,-6.0219475898039905,0.17250831558419039,12,601,28,12,Non-Confined,8105
40,23,-5.987837519909861,-0.04014954221185974,13,537,28,13,Non-Confined,8105
41,23,-5.562041777965443,2.3935358940466247,14,553,28,14,Non-Confined,8105
42,23,-6.122998613422611,1.1722477614605604,15,502,28,15,Non-Confined,8105
43,23,-6.199342696034021,-0.8615167128816288,16,162,28,16,Non-Confined,8105
44,23,-5.750716512869658,0.7453047288606063,17,115,28,17,Non-Confined,8105
45,23,-5.7769101768631455,0.11585379727373174,18,323,28,18,Non-Confined,8105
46,23,-6.122409135177908,-0.38568568193543573,19,352,28,19,Non-Confined,8105
47,23,-5.93163743141557,-0.3253282070994141,20,496,28,20,Non-Confined,8105
48,23,-6.07350308767159,-0.5530215537620634,21,526,28,21,Non-Confined,8105
