,r_major_axis,Confiner height ($\mu$m),p_agg_min/z_length_x
412,0.0387479349037182,Non-confined,0.2344262005177296
413,0.2278075095432556,Non-confined,0.195126653882218
414,0.2656376499790697,Non-confined,0.1546549559413578
415,0.0939244680307932,Non-confined,0.373120309276787
416,0.3449500065384253,Non-confined,0.4516062734575393
417,0.2439224752604792,Non-confined,0.2779212072804251
418,0.1863347446126734,Non-confined,0.1882624375768092
419,0.3950671042258796,Non-confined,0.2994210604258174
420,0.1874350083574981,Non-confined,0.3894827068431362
421,0.22417667169307,Non-confined,0.2494090769313819
422,0.2341400689061813,Non-confined,0.2211169262893984
423,0.218312457329221,Non-confined,0.3815819321049678
424,0.1159478451210786,Non-confined,0.1784036192488503
425,0.3397305228759368,Non-confined,0.2565078385991294
426,0.074643702348372,Non-confined,0.3047037833107497
427,0.2433767007002186,Non-confined,0.2304777081102672
428,0.2540671074268296,Non-confined,0.3881895558223435
429,0.0927017034250304,Non-confined,0.3733909029330162
430,0.230796780976195,Non-confined,0.2071496027260256
431,0.1240111067891671,Non-confined,0.2681630484233599
432,0.1995118173489439,Non-confined,0.3699948132541087
433,0.1664493939385569,Non-confined,0.2775644231066536
434,0.1438533636612533,Non-confined,0.2981982924489317
435,0.1783288481979495,Non-confined,0.2137958210549135
436,0.3655638925430012,Non-confined,0.2338686476584762
437,0.1894923316614713,Non-confined,0.4172048254231557
438,0.2905922865219607,Non-confined,0.112355699547032
439,0.2648714891403614,Non-confined,0.1361457643272867
440,0.2664364200256454,Non-confined,0.3149559832743538
441,0.3677572955264455,Non-confined,0.2503308581708331
442,0.0703375984490033,Non-confined,0.3680511377542338
443,0.2383597207125674,Non-confined,0.3303047808617803
444,0.0866218513311987,Non-confined,0.4339843013588265
445,0.2818093907821885,Non-confined,0.3406860730852634
446,0.1371059712725868,Non-confined,0.4032291604675106
447,0.1705950991296716,Non-confined,0.3817825080324541
448,0.1828628022961038,Non-confined,0.4324152537334322
449,0.1791249079418281,Non-confined,0.4387875428738469
450,0.2948770382728635,Non-confined,0.3649614515192242
451,0.1755999178363174,Non-confined,0.5181797514904533
452,0.2090082618560664,Non-confined,0.3455142423897371
453,0.243888182220337,Non-confined,0.3369494441945963
454,0.3107525781897907,Non-confined,0.3837425519128107
